"Node","InDegree","OutDegree"
"FociPerGy_Si.350.MeV.n_24",9,3
"Bgd_Ar.350.MeV.n_24",8,1
"Bgd_Fe.600.MeV.n_24",8,1
"FociPerGy_Si.350.MeV.n_8",7,5
"FociPerGy_Si.350.MeV.n_48",7,3
"FociPerGy_Ar.350.MeV.n_24",7,4
"Bgd_Ar.350.MeV.n_48",7,6
"FociPerGy_Fe.600.MeV.n_24",7,6
"Bgd_Si.350.MeV.n_4",6,5
"Bgd_Si.350.MeV.n_8",6,8
"Bgd_Si.350.MeV.n_24",6,2
"Bgd_Ar.350.MeV.n_4",6,6
"FociPerGy_Ar.350.MeV.n_8",6,3
"Bgd_Fe.600.MeV.n_4",6,7
"FociPerGy_Fe.600.MeV.n_4",6,6
"Bgd_Fe.600.MeV.n_8",6,4
"Bgd_Fe.600.MeV.n_48",6,10
"Bgd_X.ray_48",6,6
"FociPerGy_Si.350.MeV.n_4",5,3
"Bgd_Ar.350.MeV.n_8",5,7
"Bgd_X.ray_24",5,6
"Bgd_Si.350.MeV.n_48",4,4
"FociPerGy_Ar.350.MeV.n_4",4,7
"FociPerGy_Ar.350.MeV.n_48",4,8
"FociPerGy_Fe.600.MeV.n_8",4,6
"FociPerGy_X.ray_4",4,7
"FociPerGy_Fe.600.MeV.n_48",3,8
"Bgd_X.ray_4",3,6
"FociPerGy_X.ray_24",3,8
"FociPerGy_X.ray_48",0,8
